,Spanish,English
0,el/la,she
1,de,of
2,que,that
3,y,and
4,en,in
5,un,a
6,ser,be
7,a,to
8,él,he
9,lo,it
10,no,No
11,su,his
12,haber,to have
13,con,with
14,por,by
15,para,for
16,mí,my
17,lo,it
18,tener,have
19,como,as
20,estar,be
21,me,I
22,más,further
23,este,this
24,le,you
25,hacer,do
26,se,HE
27,yo,I
28,o,either
29,pero,but
30,decir,say
31,poder,can
32,ir,go
33,ese,that
34,otro,other
35,si,Yeah
36,mi,my
37,ver,see
38,ya,already
39,porque,because
40,mucho,a lot
41,dar,give
42,muy,very
43,saber,know
44,sí,Yeah
45,año,year
46,ti,you
47,te,tea
48,también,also
49,qué,that
50,alguno,some
51,nos,us
52,tu,you
53,sin,without
54,mismo,same
55,eso,it's
56,cuando,when
57,querer,want
58,vez,time
59,hasta,until
60,la,the
61,sobre,about
62,entre,between
63,dos,two
64,día,day
65,grande,big
66,así,So
67,pasar,pass
68,cosa,stuff
69,desde,from
70,deber,duty
71,ella,she
72,pues,well
73,entonces,so
74,llegar,arrive
75,poco,bit
76,nuestro,our
77,bien,good
78,ni,neither
79,tiempo,time
80,ahora,now
81,primero,first
82,creer,believe
83,donde,where
84,vida,life
85,dejar,leave
86,nada,nothing
87,tanto,so much
88,parecer,seem
89,hablar,talk
90,poner,put
91,parte,part
92,eh,Hey
93,nuevo,new
94,sólo,only
95,siempre,always
96,hombre,man
97,bueno,Well
98,seguir,continue
99,quedar,meet
100,llevar,carry
101,encontrar,find
102,bueno,Well
103,tan,so
104,pensar,think
105,casa,home
106,cada,each
107,persona,person
108,país,country
109,algo,something
110,esto,this
111,volver,return
112,usted,you
113,salir,go out
114,después,after
115,mejor,better
116,menos,less
117,venir,come
118,forma,shape
119,mujer,women
120,momento,moment
121,llamar,call
122,mundo,world
123,claro,clear
124,mirar,look
125,medios,media
126,mientras,while
127,conocer,know
128,aquel,that
129,aquí,here
130,aunque,although
131,quien,who
132,tomar,take
133,tres,three
134,mano,hand
135,sentir,feel
136,gente,people
137,cuándo,when
138,durante,during
139,hijo,son
140,tratar,treat
141,vivir,live
142,sino,but
143,lugar,place
144,problema,problem
145,hacia,toward
146,presidente,president
147,cual,which
148,junto,together
149,luego,then
150,cómo,as
151,trabajo,job
152,caso,case
153,mayor,elderly
154,además,besides
155,acercar,zoom in
156,esperar,wait
157,nunca,never
158,cierto,TRUE
159,hora,hour
160,dónde,where
161,padre,father
162,gustar,like
163,noche,evening
164,nosotros,us
165,casi,almost
166,hoy,today
167,tipo,guy
168,ojo,eye
169,manera,manner
170,importante,important
171,contar,count
172,niño,child
173,trabajar,work
174,empezar,begin
175,verdad,TRUE
176,contra,against
177,ciudad,city
178,buscar,look for
179,ahí,there
180,solo,only
181,fin,end
182,propio,own
183,tú,you
184,gobierno,government
185,historia,history
186,ejemplo,example
187,último,last
188,punto,spot
189,antes,before
190,mil,thousand
191,palabra,word
192,obra,construction site
193,existir,exist
194,perder,lose
195,cuenta,account
196,allí,over there
197,escribir,write
198,cualquiera,any
199,grupo,cluster
200,señor,Sir
201,pequeño,little
202,embargo,embargo
203,agua,water
204,realizar,carry out
205,nadie,nobody
206,entrar,get in
207,arte,art
208,leer,read
209,amigo,friend
210,recordar,remember
211,morir,die
212,único,only
213,lado,side
214,nombre,name
215,recibir,receive
216,pedir,ask
217,permitir,allow
218,preguntar,ask
219,social,social
220,sistema,system
221,tal,such
222,segundo,second
223,ante,in view of
224,viejo,old
225,madre,mother
226,siglo,century
227,nacional,national
228,entender,understand
229,libro,book
230,alto,high
231,cuerpo,body
232,familia,family
233,comenzar,begin
234,presentar,introduce
235,bajo,low
236,según,according to
237,frente,forehead
238,crear,create
239,tema,issue
240,cuatro,four
241,ah,ah
242,humano,human
243,pueblo,town
244,producir,produce
245,abrir,open
246,idea,idea
247,millón,million
248,sentar,sit
249,aún,still
250,caer,fall
251,voz,voice
252,terminar,finish
253,oír,hear
254,cambiar,change
