Spanish,English
el/la,she
de,of
que,that
y,and
en,in
un,a
ser,be
a,to
él,he
lo,it
no,No
su,his
haber,to have
con,with
por,by
para,for
mí,my
lo,it
tener,have
como,as
estar,be
me,I
más,further
este,this
le,you
hacer,do
se,HE
yo,I
o,either
pero,but
decir,say
poder,can
ir,go
ese,that
otro,other
si,Yeah
mi,my
ver,see
ya,already
porque,because
mucho,a lot
dar,give
muy,very
saber,know
sí,Yeah
año,year
ti,you
te,tea
también,also
qué,that
alguno,some
nos,us
tu,you
sin,without
mismo,same
eso,it's
cuando,when
querer,want
vez,time
hasta,until
la,the
sobre,about
entre,between
dos,two
día,day
grande,big
así,So
pasar,pass
cosa,stuff
desde,from
deber,duty
ella,she
pues,well
entonces,so
llegar,arrive
poco,bit
nuestro,our
bien,good
ni,neither
tiempo,time
ahora,now
primero,first
creer,believe
donde,where
vida,life
dejar,leave
nada,nothing
tanto,so much
parecer,seem
hablar,talk
poner,put
parte,part
eh,Hey
nuevo,new
sólo,only
siempre,always
hombre,man
bueno,Well
seguir,continue
quedar,meet
llevar,carry
encontrar,find
bueno,Well
tan,so
pensar,think
casa,home
cada,each
persona,person
país,country
algo,something
esto,this
volver,return
usted,you
salir,go out
después,after
mejor,better
menos,less
venir,come
forma,shape
mujer,women
momento,moment
llamar,call
mundo,world
claro,clear
mirar,look
medios,media
mientras,while
conocer,know
aquel,that
aquí,here
aunque,although
quien,who
tomar,take
tres,three
mano,hand
sentir,feel
gente,people
cuándo,when
durante,during
hijo,son
tratar,treat
vivir,live
sino,but
lugar,place
problema,problem
hacia,toward
presidente,president
cual,which
junto,together
luego,then
cómo,as
trabajo,job
caso,case
mayor,elderly
además,besides
acercar,zoom in
esperar,wait
nunca,never
cierto,TRUE
hora,hour
dónde,where
padre,father
gustar,like
noche,evening
nosotros,us
casi,almost
hoy,today
tipo,guy
ojo,eye
manera,manner
importante,important
contar,count
niño,child
trabajar,work
empezar,begin
verdad,TRUE
contra,against
ciudad,city
buscar,look for
ahí,there
solo,only
fin,end
propio,own
tú,you
gobierno,government
historia,history
ejemplo,example
último,last
punto,spot
antes,before
mil,thousand
palabra,word
obra,construction site
existir,exist
perder,lose
cuenta,account
allí,over there
escribir,write
cualquiera,any
grupo,cluster
señor,Sir
pequeño,little
embargo,embargo
agua,water
realizar,carry out
nadie,nobody
entrar,get in
arte,art
leer,read
amigo,friend
recordar,remember
morir,die
único,only
lado,side
nombre,name
recibir,receive
pedir,ask
permitir,allow
preguntar,ask
social,social
sistema,system
tal,such
segundo,second
ante,in view of
viejo,old
madre,mother
siglo,century
nacional,national
entender,understand
libro,book
alto,high
cuerpo,body
familia,family
comenzar,begin
presentar,introduce
bajo,low
